,Date,Hour,Demand
866,2021-02-06,1,10337
867,2021-02-06,2,10241
868,2021-02-06,3,10248
869,2021-02-06,4,10255
870,2021-02-06,5,10339
871,2021-02-06,6,10443
872,2021-02-06,7,10646
873,2021-02-06,8,10834
874,2021-02-06,9,11039
875,2021-02-06,10,11157
876,2021-02-06,11,11170
877,2021-02-06,12,11265
878,2021-02-06,13,11261
879,2021-02-06,14,11227
880,2021-02-06,15,11221
881,2021-02-06,16,11227
882,2021-02-06,17,11431
883,2021-02-06,18,11500
884,2021-02-06,19,11326
885,2021-02-06,20,11235
886,2021-02-06,21,11181
887,2021-02-06,22,11030
888,2021-02-06,23,10807
889,2021-02-07,0,10607
890,2021-02-07,1,10485
891,2021-02-07,2,10416
892,2021-02-07,3,10376
893,2021-02-07,4,10380
894,2021-02-07,5,10450
895,2021-02-07,6,10576
896,2021-02-07,7,10804
897,2021-02-07,8,10935
898,2021-02-07,9,11079
899,2021-02-07,10,11120
900,2021-02-07,11,11062
901,2021-02-07,12,11013
902,2021-02-07,13,11037
903,2021-02-07,14,11008
904,2021-02-07,15,11046
905,2021-02-07,16,11098
906,2021-02-07,17,11327
907,2021-02-07,18,11373
908,2021-02-07,19,11271
909,2021-02-07,20,11127
910,2021-02-07,21,11093
911,2021-02-07,22,10958
912,2021-02-07,23,10737
913,2021-02-08,0,10626
914,2021-02-08,1,10571
915,2021-02-08,2,10526
916,2021-02-08,3,10532
917,2021-02-08,4,10580
918,2021-02-08,5,10481
919,2021-02-08,6,10728
920,2021-02-08,7,11105
921,2021-02-08,8,11220
922,2021-02-08,9,11316
923,2021-02-08,10,11432
924,2021-02-08,11,11413
925,2021-02-08,12,11368
926,2021-02-08,13,11324
927,2021-02-08,14,11306
928,2021-02-08,15,11318
929,2021-02-08,16,11428
930,2021-02-08,17,11592
931,2021-02-08,18,11696
932,2021-02-08,19,11513
933,2021-02-08,20,11390
934,2021-02-08,21,11283
935,2021-02-08,22,11148
936,2021-02-08,23,10944
937,2021-02-09,0,10837
938,2021-02-09,1,10725
939,2021-02-09,2,10644
940,2021-02-09,3,10605
941,2021-02-09,4,10621
942,2021-02-09,5,10735
943,2021-02-09,6,10978
944,2021-02-09,7,11374
945,2021-02-09,8,11411
946,2021-02-09,9,11465
947,2021-02-09,10,11527
948,2021-02-09,11,11501
949,2021-02-09,12,11433
950,2021-02-09,13,11449
951,2021-02-09,14,11359
952,2021-02-09,15,11354
953,2021-02-09,16,11448
954,2021-02-09,17,11648
955,2021-02-09,18,11729
956,2021-02-09,19,11598
957,2021-02-09,20,11490
958,2021-02-09,21,11410
959,2021-02-09,22,11192
960,2021-02-09,23,10974
961,2021-02-10,0,10809
962,2021-02-10,1,10729
963,2021-02-10,2,10684
964,2021-02-10,3,10689
965,2021-02-10,4,10722
966,2021-02-10,5,10848
967,2021-02-10,6,10991
968,2021-02-10,7,11315
969,2021-02-10,8,11420
970,2021-02-10,9,11462
971,2021-02-10,10,11494
972,2021-02-10,11,11554
973,2021-02-10,12,11491
974,2021-02-10,13,11416
975,2021-02-10,14,11343
976,2021-02-10,15,11350
977,2021-02-10,16,11434
978,2021-02-10,17,11599
979,2021-02-10,18,11665
980,2021-02-10,19,11485
981,2021-02-10,20,11364
982,2021-02-10,21,11195
983,2021-02-10,22,10961
984,2021-02-10,23,10839
985,2021-02-11,0,10799
986,2021-02-11,1,10725
987,2021-02-11,2,10662
988,2021-02-11,3,10644
989,2021-02-11,4,10659
990,2021-02-11,5,10687
991,2021-02-11,6,10999
992,2021-02-11,7,11300
993,2021-02-11,8,11376
